layers;11;12;13;14
Layer;Data;Train;Runtime
152900;13691922800;6440492700;20132568400
236200;13271185100;6382714600;19654135900
187800;13382418300;6329649000;19712255100
158500;13819885300;6405438500;20225482300
288600;12883089100;6462815300;19346193000
219100;12779871100;6461387000;19241477200
178400;13063646500;6584283900;19648108800
306900;13783542500;6356953200;20140802600
170500;13346809700;6389006900;19735987100
258200;13308868400;9567348000;22876474600

Mean
215710;13333123880;6738008910;20071348500
