layers;6;7;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset
56700;23000000;-7582200;15474500
88000;18199000;-7804100;10482900
53500;6953500;-7778700;-771700
38500;7088100;-7630300;-503700
43800;7116500;-7435800;-275500
3000;9773200;-7370000;2406200
49200;6854900;-7368500;-464400
38300;6699500;-7563300;-825500
38900;7107100;-7599900;-453900
36700;7358800;-12258300;-4862800
161000;7074900;-10475900;-3240000
110100;7069800;-8171100;-991200
36100;6835400;-7936700;-1065200
54700;7417200;-7542100;-70200
35800;7726000;-7723100;38700
52600;7852700;-7708800;196500
65600;8021000;-7826600;260000
32100;8473100;-7706000;799200
107300;10903100;-6461400;4549000
55100;7144100;-7623300;-424100

Mean
57850;8933395;-7978305;1012940
