layers;6;10;15;10;7;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
33900;8088000;-23135200;-15013300
44100;7034200;-25052400;-17974100
36000;7498600;-22928600;-15394000
33700;7284200;-22885400;-15567500
47400;6999100;-22881900;-15835400
44300;7335000;-25350900;-17971600
49800;10111100;-23508900;-13348000
47300;6660400;-23379900;-16672200
47900;6795600;-22514600;-15671100
47600;7712100;-23467000;-15707300
30900;6701300;-24889600;-18157400
43200;6851400;-22538800;-15644200
59600;6969500;-23260400;-16231300
56900;7156500;-21377400;-14164000
41400;7226900;-24547900;-17279600
24500;7386400;-22966000;-15555100
33500;7330900;-22828700;-15464300
47700;7250400;-22916000;-15617900
34200;7765400;-22721700;-14922100
45400;7799900;-23564800;-15719500

Mean
42465;7397845;-23335805;-15895495
