layers;6;7;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset
-31500;22299700;-15343000;6925200
65000;20244700;-17842100;2467600
39600;19561900;-15756400;3845100
60000;19568600;-15654000;3974600
40700;20990400;-14850900;6180200
41900;38549400;-13632200;24959100
48600;28802900;-16044700;12806800
39100;20124500;-14886200;5277400
76500;20941800;-17574500;3443800
51700;21409300;-15708700;5752300
101100;28834600;-15449200;13486500
26500;19431200;-16222700;3235000
51000;20639700;-15368100;5322600
47200;19647500;-15255000;4439700
64500;20872900;-15171900;5765500
53400;22328200;-20657300;1724300
43800;19260500;-26102800;-6798500
52100;18972700;-25969800;-6945000
44300;19149300;-16727700;2465900
48000;18942500;-14544900;4445600

Mean
48175;22028615;-16938105;5138685
