layers;6;10;15;10;7;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
12500;20288300;-46981500;-26680700
64700;19825700;-48141400;-28251000
69600;20124300;-46704900;-26511000
45000;20734600;-47167400;-26387800
56500;20384300;-47097600;-26656800
-73400;26026500;-44735800;-18782700
43900;19402400;-46470800;-27024500
9800;19761400;-47247100;-27475900
98800;20274200;-48314500;-27941500
46200;19895100;-47521700;-27580400
29300;19589400;-48511400;-28892700
44700;21774500;-44102600;-22283400
70000;18838500;-46919800;-28011300
14000;20006900;-45006700;-24985800
58900;19472100;-47704800;-28173800
59200;20930500;-49200000;-28210300
66700;19884700;-46350300;-26398900
62700;20216600;-46169600;-25890300
35500;22531200;-46024500;-23457800
47600;18975900;-46521900;-27498400

Mean
43110;20446855;-46844715;-26354750
