layers;6;7;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset
1835500;34411700;8413300;44660500
242300;17491300;5571300;23304900
190300;12744400;12755200;25689900
219400;16188600;5136400;21544400
171300;15683800;11595200;27450300
236300;8048800;5637200;13922300
115300;5952900;4021200;10089400
124300;7733600;2892900;10750800
83100;8795400;2888900;11767400
79400;9038100;2909700;12027200
87200;8885600;2883900;11856700
116900;8877600;2893600;11888100
123800;9421400;2856600;12401800
126200;10785600;3036000;13947800
118500;11123800;4837400;16079700
155600;10339700;2908400;13403700
144600;9831100;4133800;14109500
180200;10128300;3293300;13601800
179900;9780100;3023200;12983200
108400;10161200;3563300;13832900

Mean
231925;11771150;4762540;16765615
