layers;6;10;15;10;7;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
239700;5070700;9547800;14858200
124600;5210100;10186700;15521400
84600;5079600;9988900;15153100
81100;5554700;9710200;15346000
64200;5278200;9794400;15136800
72700;5255200;9661800;14989700
58100;4948000;9693600;14699700
57900;4905400;9845100;14808400
77000;5089900;10054200;15221100
76600;5171600;10119100;15367300
81700;4930200;10253700;15265600
74600;4731200;10164400;14970200
70200;5046100;10102500;15218800
64900;5212500;10204800;15482200
105100;8920200;10502500;19527800
85300;4678700;10557400;15321400
86400;4730700;10581600;15398700
72000;4851600;10458700;15382300
67500;5376400;10561200;16005100
138900;5083800;10570800;15793500

Mean
89155;5256240;10127970;15473365
