layers;6;7;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset
50500;22475200;5331900;27857600
82400;20484400;5410500;25977300
59100;19842100;5364500;25265700
80000;19817400;5058500;24955900
61200;21274000;5294500;26629700
59200;38774900;6269200;45103300
66900;29030000;5505700;34602600
57000;20400200;5581000;26038200
95800;21198900;5389300;26684000
72800;21746800;5288900;27108500
120900;29084400;5500400;34705700
78600;19863900;5422100;25364600
76600;20991300;5591000;26658900
66600;19896600;5663300;25626500
84400;21132800;5406900;26624100
72400;22568600;5571800;28212800
65300;19615300;5481500;25162100
72600;19306000;5395700;24774300
66600;19467500;5469600;25003700
69900;19214700;5277300;24561900

Mean
72940;22309250;5463680;27845870
