layers;6;10;15;10;7;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
72600;20489900;20197800;40760300
92500;20106900;19986400;40185800
95400;20387100;20068100;40550600
86900;21053800;19895200;41035900
85600;20669100;19990300;40745000
84900;26315000;20165000;46564900
76600;19665700;20264100;40006400
70200;20007900;21349400;41427500
125900;20552000;20724100;41402000
82900;20188300;20190200;40461400
85000;19862300;20210500;40157800
90000;22076600;21286300;43452900
100000;19120400;19936100;39156500
90400;20320200;19717500;40128100
88500;19760700;19913100;39762300
85500;21339100;20144500;41569100
94900;20202100;20302400;40599400
98800;20477100;20221000;40796900
81700;22799500;20141600;43022800
84800;19298400;20009400;39392600

Mean
88655;20734605;20235650;41058910
