layers;6;7;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset
1309300;1456400;27523900;30289600
24600;435100;25514400;25974100
22900;309700;13110800;13443400
20800;219200;11719400;11959400
20600;195500;11010800;11226900
21600;189300;11105700;11316600
23200;251000;11059900;11334100
22500;215400;11076500;11314400
26600;216700;10949100;11192400
95000;192000;11239100;11526100
23600;438400;10833200;11295200
86000;230100;11104700;11420800
23300;224300;10749400;10997000
22100;230800;12247800;12500700
24400;243100;10821200;11088700
22500;226500;10870300;11119300
21200;240000;10879500;11140700
82700;238500;11088500;11409700
23500;244900;11735200;12003600
37300;342300;10814300;11193900

Mean
97685;316960;12772685;13187330
