layers;6;10;15;10;7;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
60100;201600;67179300;67441000
27800;281200;68127800;68436800
25800;262800;66773000;67061600
41900;319200;67062600;67423700
29100;284800;67087900;67401800
158300;288500;64900800;65347600
32700;263300;66734900;67030900
60400;246500;68596500;68903400
27100;277800;69038600;69343500
36700;293200;67711900;68041800
55700;272900;68721900;69050500
45300;302100;65388900;65736300
30000;281900;66855900;67167800
76400;313300;64724200;65113900
29600;288600;67617900;67936100
26300;408600;69344500;69779400
28200;317400;66652700;66998300
36100;260500;66390600;66687200
46200;268300;66166100;66480600
37200;322500;66531300;66891000

Mean
45545;287750;67080365;67413660
