layers;9;14;20;15;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
193300;560972200;-358486500;202679000
121500;557239000;-342640100;214720400
144000;561007200;-332583900;228567300
124600;553439200;-332412600;221151200
150500;542100400;-355457000;186793900
122900;558589200;-344588200;214123900
128300;565734500;-331885800;233977000
129400;577939600;-338454000;239615000
104000;568956700;-364545100;204515600
113000;608515000;-380438900;228189100
84900;550226200;-433335100;116976000
122300;548768900;-407339400;141551800
125100;557089900;-342728100;214486900
111700;604723400;-320346900;284488200
214600;598561600;-338954300;259821900
124600;589628800;-346161800;243591600
113600;562242300;-349622500;212733400
233900;551766500;-333610100;218390300
96600;578029000;-355442500;222683100
122200;596954700;-369639300;227437600

Mean
134050;569624215;-353933605;215824660
