layers;9;12;15;10;5;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset
165600;564126700;85216900;649509200
162400;535691800;90361400;626215600
176900;560473700;92400400;653051000
143100;563613100;94306700;658062900
129700;547213600;86197600;633540900
243900;543595700;89111400;632951000
142300;536983200;86397400;623522900
110400;532873500;84441100;617425000
116300;526716300;85794500;612627100
147100;528080200;87230500;615457800
142500;530403200;85291700;615837400
116300;532050900;82892400;615059600
111400;525006100;84575000;609692500
112000;524138200;86839700;611089900
137600;540145800;88141600;628425000
138400;549208000;91078500;640424900
133100;544640700;87039900;631813700
161500;533616400;84674800;618452700
133800;538860400;94040100;633034300
152400;547041200;87184800;634378400

Mean
143835;540223935;87660820;628028590
