layers;9;14;20;15;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
231700;561587300;160054100;721873100
157700;557854000;166834300;724846000
178000;561662500;167447600;729288100
165100;554060300;191361500;745586900
186000;542725900;152837400;695749300
158900;559201100;157677300;717037300
164200;566347900;165649300;732161400
164400;578623000;158225800;737013200
143500;569598900;156787100;726529500
148100;609132500;156330400;765611000
161600;551374200;160310400;711846200
160200;549395500;154990600;704546300
163300;557779300;161127600;719070200
162400;605361900;170182800;775707100
280900;599280500;167617900;767179300
160400;590213700;159919800;750293900
154300;562893100;162510800;725558200
267700;552386400;172117300;724771400
143100;578646800;156491300;735281200
158000;597574200;163783000;761515200

Mean
175475;570284950;163112815;733573240
