layers;9;14;20;15;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
70400;1504064600;311674500;1815809500
168400;1515865500;305530400;1821564300
144400;1514778700;316910800;1831833900
118000;1677740200;318180000;1996038200
157700;1503485700;336501400;1840144800
128100;1565751800;313036400;1878916300
135200;1542573200;315966600;1858675000
136400;1558288000;323031600;1881456000
178300;1564111300;327329400;1891619000
171500;1561747400;322644800;1884563700
129000;1539334200;336177900;1875641100
144100;1565844800;320632200;1886621100
167400;1534791800;319267100;1854226300
152100;1527896900;316108600;1844157600
146900;1518947000;312016600;1831110500
157100;1539303800;312605400;1852066300
163500;1565174300;303411700;1868749500
133100;1507655800;320176100;1827965000
168800;1539402400;323528700;1863099900
136400;1526091800;316212300;1842440500

Mean
145340;1543642460;318547125;1862334925
