layers;9;14;20;15;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
38400;615100;518540600;519194100
36200;615000;509474400;510125600
34000;655300;500031500;500720800
40500;621100;523774100;524435700
35500;625500;508294400;508955400
36000;611900;502265500;502913400
35900;613400;497535100;498184400
35000;683400;496679800;497398200
39500;642200;521332200;522013900
35100;617500;536769300;537421900
76700;1148000;593645500;594870200
37900;626600;562330000;562994500
38200;689400;503855700;504583300
50700;638500;490529700;491218900
66300;718900;506572200;507357400
35800;584900;506081600;506702300
40700;650800;512133300;512824800
33800;619900;505727400;506381100
46500;617800;511933800;512598100
35800;619500;533422300;534077600

Mean
41425;660735;517046420;517748580
