layers;11;17;24;20;15;13;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
11148800;3885462400;-2992986700;903624500
112800;4129143700;-2664827600;1464428900
115700;4122326000;-2755218800;1367222900
119500;4133141800;-2672744000;1460517300
130400;3975628300;-2666237700;1309521000
131800;3989467100;-2508192900;1481406000
216400;3944479100;-3138374200;806321300
106500;4008741600;-2938466800;1070381300
132000;4067723900;-3068395200;999460700
122400;4190361700;-3337903100;852581000
132000;4246238000;-2820120200;1426249800
120200;4161670500;-2988086700;1173704000
112000;4196746900;-3086815200;1110043700
136600;4476011700;-3008416300;1467732000
192500;4710254700;-2897848400;1812598800
117100;4627842000;-2833714600;1794244500
158700;4605278100;-2809559600;1795877200
160300;4725022200;-2876959800;1848222700
182100;4616918800;-2869714000;1747386900
191800;4600860800;-2771471500;1829581100

Mean
691980;4270665965;-2885302665;1386055280
