layers;11;12;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset
22500;32141106200;-1499073600;30642055100
181700;35050395700;-1435783400;33614794000
105400;34923952000;-1379991400;33544066000
133700;34045911000;-1364394900;32681649800
194100;30894375500;-1368215100;29526354500
94000;30304139800;-1378112600;28926121200
124600;29355729900;-1272387800;28083466700
119500;27322644900;-1402031400;25920733000
160600;30915012300;-1314325300;29600847600
107000;30115483700;-1369901400;28745689300
118300;28647565200;-1320109100;27327574400
174800;32813299100;-1269497900;31543976000
54900;31633789500;-1157173200;30476671200
115500;32985027500;-1273565200;31711577800
113200;33916351900;-1257596900;32658868200
134200;31280485700;-1342703200;29937916700
164300;29537472100;-1399670100;28137966300
169200;28023791000;-1375637400;26648322800
114800;28673553300;-1386711700;27286956400
102900;28220764800;-1424734000;26796133700

Mean
125260;31040042555;-1349580780;29690587035
