layers;11;17;24;20;15;13;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
11212300;3886792200;1071710300;4969714800
169300;4130530500;1146923100;5277622900
164300;4123636200;1092051700;5215852200
180000;4135075400;1155426200;5290681600
177600;3976923800;1100509800;5077611200
177700;3990737300;1158446200;5149361200
260800;3945725700;1118762300;5064748800
168600;4010559000;1048434600;5059162200
178000;4069051300;1051380000;5120609300
169300;4191649300;1066135000;5257953600
178700;4247518900;1109220400;5356918000
168000;4162949000;1032927900;5196044900
174600;4198802400;1081940500;5280917500
182500;4477357000;1164493700;5642033200
239700;4711560300;1150127000;5861927000
173300;4629641500;1165552700;5795367500
206000;4606505600;1265672500;5872384100
205300;4726273900;1210484700;5936963900
227400;4618218700;1196258900;5814705000
237700;4602082300;1098568800;5700888800

Mean
742555;4272079515;1124251315;5397073385
