layers;11;17;24;20;15;13;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
142200;10647658800;1145397400;11793198400
165900;10709641500;1053519800;11763327200
200500;10704018500;1254045500;11958264500
179100;10704697700;1157041400;11861918200
180000;10615657500;1142481100;11758318600
271800;10355474100;1086231600;11441977500
171200;9974841300;1027068900;11002081400
174700;10001697000;1068157800;11070029500
180400;10223603300;1067390200;11291173900
183000;10154473000;1088281800;11242937800
167600;10392973400;1145413000;11538554000
160700;10171100900;1131647400;11302909000
170500;10301072900;1052223800;11353467200
182900;10142514500;1064305000;11207002400
187600;10178351700;1133475600;11312014900
173300;10331428800;1080967700;11412569800
262400;10987680200;1078022800;12065965400
172000;10474265300;1123323000;11597760300
328400;10581214700;1060003100;11641546200
196200;10278840000;1063895200;11342931400

Mean
192520;10396560255;1101144605;11497897380
