layers;11;12;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset
65400;32144359200;682884600;32827309200
205900;35053609200;622198500;35676013600
135300;34927477000;619011200;35546623500
167000;34049144800;572526300;34621838100
234300;30897733100;554771600;31452739000
141600;30307350400;628923000;30936415000
147900;29359115600;586845200;29946108700
143400;27325988200;490655000;27816786600
184900;30918477600;516037400;31434699900
140400;30118801100;508988100;30627929600
141000;28650873600;511854500;29162869100
199000;32816607800;586768200;33403575000
130100;31637080200;818636400;32455846700
138100;32988267800;582467900;33570873800
135800;33919585800;637656500;34557378100
156900;31283635900;539555700;31823348500
187700;29540533200;568741200;30109462100
193600;28026928700;494837500;28521959800
138300;28676753600;479508000;29156399900
126100;28224180100;511093800;28735400000

Mean
155635;31043325145;575698030;31619178810
