layers;11;17;24;20;15;13;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
48800;2309300;3798719900;3801078000
52200;2422900;3409662900;3412138000
56300;2202700;3456132300;3458391300
46200;2170500;3833118100;3835334800
49100;2179000;3564528000;3566756100
48400;2280500;3808621500;3810950400
45900;2161800;3988226600;3990434300
47400;2186800;3730075600;3732309800
50100;2154800;3769789000;3771993900
47300;2132800;3789156500;3791336600
47000;2362800;3756379300;3758789100
75300;2170100;3626064400;3628309800
72800;2073900;3566572800;3568719500
70600;2933500;3524497900;3527502000
46200;3296100;3463761000;3467103300
37900;2198400;3631289600;3633525900
47200;3323600;3649578500;3652949300
39500;2352700;3689048000;3691440200
38400;2222300;3683262200;3685522900
38500;2142800;3713272100;3715453400

Mean
50255;2363865;3672587810;3675001930
