layers;11;17;24;20;15;13;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
67100;3253200;6655613900;6658934200
47200;3222500;6542809400;6546079100
41400;3367300;6601072800;6604481500
38200;3324100;6510624700;6513987000
38800;3302200;6695940400;6699281400
39500;3206600;6639917800;6643163900
40000;3190800;7737172200;7740403000
45800;4761600;7792826900;7797634300
49300;4890200;7752061900;7757001400
39300;3321400;7557208000;7560568700
47400;4928400;7916191600;7921167400
41200;3623600;8370297700;8373962500
41500;3248800;8127609800;8130900100
37100;3219600;7965516900;7968773600
50400;4796700;8184853300;8189700400
42600;3174800;7917694900;7920912300
47700;4918300;7745342700;7750308700
40200;3320500;8529963100;8533323800
48800;4807400;8097604000;8102460200
40100;3197900;7635704000;7638942000

Mean
44180;3753795;7548801300;7552599275
