layers;5;8;10;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
3367000;1874100;-6941300;-1700200
23400;1941500;-6744400;-4779500
38500;1745800;-8254600;-6470300
14400;1633900;-6907700;-5259400
14500;1736200;-6721400;-4970700
19000;1808800;-6647700;-4819900
18000;1851700;-6652400;-4782700
18500;1931800;-6663600;-4713300
-3700;1920700;-6510300;-4593300
20700;1952200;-7364300;-5391400
14100;1974300;-15123200;-13134800
54600;1907500;-7047200;-5085100
36700;2241400;-6498400;-4220300
69700;2100100;-6556700;-4386900
29900;2057200;-6560200;-4473100
-6500;2187700;-8255900;-6074700
1300;1788000;-6574100;-4784800
16000;1649000;-6651400;-4986400
10700;1664400;-6778700;-5103600
22500;1894800;-6491900;-4574600

Mean
188965;1893055;-7297270;-5215250
