layers;5;8;10;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
-10100;5874900;-13688300;-7823500
14700;5251200;-13249900;-7984000
60600;5682300;-12952900;-7210000
11700;5906700;-12059600;-6141200
44900;6023200;-13658300;-7590200
33600;5535200;-15283200;-9714400
27100;5610600;-12732200;-7094500
35200;5512100;-12746700;-7199400
42200;5754800;-13229800;-7432800
25900;6218500;-12913000;-6668600
26800;6239800;-12822800;-6556200
47300;5337900;-12993300;-7608100
49100;5689300;-12222300;-6483900
57800;5149100;-14226200;-9019300
57300;8868800;-15208700;-6282600
47900;6970900;-12537700;-5518900
38800;5398500;-12356900;-6919600
34600;5618800;-12739900;-7086500
-7000;5351300;-12494500;-7150200
43100;5432300;-12810600;-7335200

Mean
34075;5871310;-13146340;-7240955
