layers;5;8;10;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
50100;2274700;2336800;4661600
43100;2924800;2330900;5298800
47300;2250800;2447800;4745900
64400;2218900;2446900;4730200
41000;2225900;2469500;4736400
39600;2217700;2382600;4639900
40600;2593600;2337600;4971800
46200;2321700;2332700;4700600
42200;2392500;2333700;4768400
40900;2321800;2330900;4693600
44400;2301900;2324200;4670500
39200;2353900;2327000;4720100
39200;2365900;2332000;4737100
39400;2413000;2326400;4778800
38400;2436600;2329100;4804100
37500;2458900;2331000;4827400
37900;2849600;2334600;5222100
48700;2556100;2326000;4930800
41000;2870400;2454800;5366200
48700;2848900;2376600;5274200

Mean
43490;2459880;2360555;4863925
