layers;5;8;10;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
48300;6040400;4475900;10564600
61000;5481200;4763500;10305700
77400;5882100;4530100;10489600
49500;6137500;4912900;11099900
61800;6269300;4679600;11010700
51300;5764400;4486000;10301700
45400;5805800;4727700;10578900
52400;5723500;4842000;10617900
63100;5948800;4483600;10495500
46200;6424500;4811000;11281700
50700;6432300;4870500;11353500
69000;5512000;4833200;10414200
69400;5939400;4873800;10882600
74600;5818800;5718000;11611400
77000;9117400;4908900;14103300
79900;7316900;4919700;12316500
57200;5620100;4912400;10589700
51600;5765500;4676900;10494000
49800;5535500;4725600;10310900
66000;5658500;4658900;10383400

Mean
60080;6109695;4790510;10960285
