layers;5;8;10;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
26100;141900;9303200;9471200
22000;216300;9077100;9315400
29600;192600;11488200;11710400
22700;203000;8773500;8999200
25800;201000;8982900;9209700
20400;183000;8903400;9106800
22100;174600;8950100;9146800
20600;179700;9001500;9201800
25100;159400;9117000;9301500
26300;138300;8791300;8955900
25700;165900;8603000;8794600
18300;123900;9355700;9497900
30700;234100;8963400;9228200
21100;155900;8948100;9125100
20500;145200;8838300;9004000
27400;185800;13769500;13982700
27800;261400;14407700;14696900
21600;184800;13754700;13961100
21000;203100;14107200;14331300
23600;188300;13953100;14165000

Mean
23920;181910;10354445;10560275
