layers;8;10;6;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset
4510900;47949600;-47636100;4824400
70700;48138200;-46440000;1768900
73700;48121700;-46863100;1332300
106200;48331300;-49130600;-693100
75400;47667600;-47897600;-154600
60500;46601000;-50951200;-4289700
74000;57118000;-47879000;9313000
-22600;51364400;-49024000;2317800
42800;47848300;-46815900;1075200
64600;46852400;-45832400;1084600
52400;48810600;-63934200;-15071200
47000;48704000;-42651200;6099800
43000;56537700;-46230300;10350400
58800;46971200;-48719700;-1689700
46000;46823300;-46122400;746900
39500;58967400;-46036100;12970800
65000;52318500;-44567700;7815800
61000;47590500;-46207900;1443600
72800;47719100;-45206800;2585100
67900;47701300;-46703700;1065500

Mean
280480;49606805;-47742495;2144790
