layers;8;15;20;25;17;10;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
59200;318669200;-431576100;-112847700
119800;317604000;-436172200;-118448400
134300;320832900;-430609900;-109642700
105300;324514100;-428000200;-103380800
157100;337703100;-417688600;-79828400
145600;324794900;-415679100;-90738600
130800;322665100;-428044700;-105248800
115600;313624300;-429102500;-115362600
118600;316367200;-432692400;-116206600
127100;314407900;-429537500;-115002500
123000;317309600;-431233300;-113800700
124900;311459800;-429600100;-118015400
131100;316822900;-432326000;-115372000
121500;316156000;-426736800;-110459300
132300;316853000;-433006500;-116021200
135500;317711600;-423916000;-106068900
110000;314210300;-434110500;-119790200
125600;311944900;-431734000;-119663500
120300;313306400;-429303500;-115876800
125500;308891100;-429411400;-120394800

Mean
123155;317792415;-429024065;-111108495
