layers;8;10;6;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset
4539900;48163100;16847800;69550800
93800;48433100;18028200;66555100
95800;48412300;17213800;65721900
128400;48684600;18337900;67150900
97200;48025500;17180000;65302700
83600;46920500;17575600;64579700
98400;57528200;19234700;76861300
97800;51780200;16965400;68843400
64300;48115000;16667100;64846400
81900;47154000;16599500;63835400
72000;49202700;16763800;66038500
68000;49049800;18401700;67519500
77200;56815700;16859400;73752300
83900;47310100;16533500;63927500
70800;47150200;16253500;63474500
62600;59255700;17389800;76708100
89700;52621400;17003800;69714900
84000;47902400;17081600;65068000
96600;48027100;16979800;65103500
90800;48004100;16838100;64933000

Mean
308835;49927785;17237750;67474370
