layers;8;10;6;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset
29000;213500;64483900;64726400
23100;294900;64468200;64786200
22100;290600;64076900;64389600
22200;353300;67468500;67844000
21800;357900;65077600;65457300
23100;319500;68526800;68869400
24400;410200;67113700;67548300
120400;415800;65989400;66525600
21500;266700;63483000;63771200
17300;301600;62431900;62750800
19600;392100;80698000;81109700
21000;345800;61052900;61419700
34200;278000;63089700;63401900
25100;338900;65253200;65617200
24800;326900;62375900;62727600
23100;288300;63425900;63737300
24700;302900;61571500;61899100
23000;311900;63289500;63624400
23800;308000;62186600;62518400
22900;302800;63541800;63867500

Mean
28355;320980;64980245;65329580
