layers;8;15;20;25;17;10;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
60700;176900;334861100;335098700
55400;315300;357933000;358303700
58400;320800;333868500;334247700
51100;325200;333342700;333719000
53800;291400;329150300;329495500
69100;316700;333445500;333831300
53600;344300;333973200;334371100
54000;294800;330619500;330968300
62800;323800;334255800;334642400
54200;317800;333121300;333493300
54100;312300;333099200;333465600
94000;328300;331703400;332125700
53000;319600;336248300;336620900
69100;312800;333532900;333914800
56400;314500;333977600;334348500
120400;297900;333894100;334312400
63700;337900;333613000;334014600
44600;334000;336010200;336388800
43400;305200;332796400;333145000
47200;319300;332491300;332857800

Mean
60950;310440;334596865;334968255
