layers;8;10;6;4;2
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset
30600;406600;126287100;126724300
29700;505900;126897200;127432800
26600;514800;124349000;124890400
25700;529000;126258100;126812800
25200;524900;125851600;126401700
25100;539000;128516400;129080500
28500;540400;125216800;125785700
24700;503600;125621100;126149400
27400;512800;125536100;126076300
27400;553200;124705700;125286300
25400;493100;123392300;123910800
25100;488700;126541400;127055200
27600;519100;125060800;125607500
29400;566200;127257800;127853400
31900;533800;125792100;126357800
26100;529100;127430400;127985600
26900;528300;126819400;127374600
26900;514300;126888500;127429700
25500;535000;125647500;126208000
26800;534700;125505800;126067300

Mean
27125;518625;125978755;126524505
