layers;5;9;15;20;12;8;6
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
67100;6141699;-46752098;-40543299
78601;6485200;-43119000;-36555199
73300;6442300;-42823100;-36307500
52299;6909900;-41282500;-34320301
61801;7217600;-42162600;-34883199
71700;8747600;-41919300;-33100000
72200;6183401;-43010101;-36754500
70300;6403501;-42857900;-36384099
76999;6746701;-39530799;-32707099
140899;6938601;-43178500;-36099000
69000;6163700;-40277299;-34044599
65099;7061701;-41180400;-34053600
98099;9041302;-40232600;-31093199
93200;6502401;-43421201;-36825600
90899;6432901;-42894300;-36370500
72002;7465500;-42697402;-35159900
83399;6777000;-40168099;-33307700
62200;6699900;-42782100;-36020000
73400;7018201;-41516699;-34425098
113700;7173200;-41299000;-34012100

Mean
79309;6927615;-42155249;-35148324
