layers;5;9;15;20;12;8;6
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
101900;2836099;8845801;11783800
64100;2429799;8820201;11314100
60800;2464100;8937900;11462800
87101;2464100;9115100;11666301
85499;2725300;9275501;12086300
71001;2683600;9099600;11854201
118800;2551600;8831100;11501500
60501;2529500;8865600;11455601
61200;2679200;9208600;11949000
64200;2684699;8843101;11592000
63601;2450300;8814800;11328701
60101;2400300;8815800;11276201
60400;2409200;8942500;11412100
61700;2525000;9107599;11694299
63999;2505601;8805000;11374600
59299;2568500;8814400;11442199
59400;2563000;8812999;11435399
58800;2462000;9189399;11710199
87099;3026700;9139301;12253100
111100;2665199;9000501;11776800

Mean
73030;2581189;8964240;11618460
