layers;5;9;15;20;12;8;6
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
90700;6298199;17622901;24011800
102701;6672700;17690900;24466301
96300;6664100;17720400;24480800
75100;7108600;17732800;24916500
84300;7414800;18218401;25717501
94300;8974900;18477000;27546200
94799;6380201;17836000;24311000
95000;6628601;18423600;25147201
101500;6949600;19321800;26372900
163399;7125201;18780700;26069300
92300;6390500;19170200;25653000
87399;7271501;19114600;26473500
121099;9279501;18560000;27960600
115700;6699700;18573300;25388700
113699;6662901;18665700;25442300
96701;7716900;18853699;26667300
106600;6997199;18480501;25584300
85300;6956500;18414500;25456300
99300;7236501;18577300;25913101
135500;7388800;18648500;26172800

Mean
102584;7140845;18444140;25687570
