layers;5;9;15;20;12;8;6
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
22500;105899;32787201;32915600
22600;241400;29876100;30140100
21401;188999;29429000;29639400
21301;215599;29769399;30006299
24300;264500;31971000;32259800
22700;170000;30251300;30444000
21900;163200;29496700;29681800
29600;174900;30909200;31113700
21701;189299;30313900;30524900
21301;148600;30371600;30541501
20500;140901;29707900;29869301
21000;165201;31604000;31790201
21700;164400;29921599;30107699
21900;314300;29312700;29648900
36999;151100;31785200;31973299
35200;168600;29886000;30089800
27000;183900;29523600;29734500
21600;166100;31641800;31829500
24100;213000;50586200;50823300
25499;227200;33163201;33415900

Mean
24240;187854;31615380;31827475
