layers;3;5;6
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset
114000;10178900;-1055900;9237000
71301;1570199;-487702;1153798
60599;1465599;-334999;1191199
98300;1245001;-1082101;261200
39600;882899;-1061700;-139201
49201;878800;-456100;471901
95799;960301;-1124699;-68599
61400;897000;-641800;316600
52600;681400;-791999;-57999
91299;2596800;-1095098;1593001
138001;1314200;-819402;632799
44900;1210899;-501298;754501
62101;849000;-757900;153201
108700;1101900;-538501;672099
61700;1093100;-776900;377900
24101;758800;-787100;-4199
84401;712600;-708101;88900
31599;568099;-538599;61099
27099;752300;-509599;269800
33900;644700;-724300;-45700

Mean
67530;1518124;-739689;845965
