layers;3;6;15;24;17;9;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
57100;195200;15741500;15993800
57900;245401;15244300;15547601
60900;231200;15967000;16259100
66500;258700;15244600;15569800
52201;212899;9422200;9687300
55800;184400;9942500;10182700
56301;149399;9260700;9466400
53900;167301;9317000;9538201
56800;143501;9290599;9490900
52701;188899;9460699;9702299
99799;155100;9595301;9850200
65900;230800;9483400;9780100
57300;162801;10101700;10321801
61400;224000;9557200;9842600
55799;235401;10901801;11193001
59899;178100;9187301;9425300
48100;128800;9274700;9451600
45600;125200;9224299;9395099
47501;159699;9412000;9619200
51199;154300;9246000;9451499

Mean
58130;186555;10743740;10988425
