layers;3;6;15;24;17;9;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
65700;139700;18545700;18751100
40600;269400;18915400;19225400
44700;321300;18651900;19017900
46000;281000;20875699;21202699
45001;235199;17877599;18157799
97799;141000;18036800;18275599
79900;237600;18094200;18411700
36199;183400;18548600;18768199
36700;188200;21367500;21592400
36500;195900;18536900;18769300
40900;179900;17912799;18133599
32201;144299;17823600;18000100
72000;228600;17557699;17858299
35000;326500;17709400;18070900
33301;208299;25383500;25625100
41699;229901;29125901;29397501
38800;212800;23709000;23960600
34799;187800;17684301;17906900
35400;195701;17351299;17582400
42500;156800;17866500;18065800

Mean
46784;213164;19578714;19838664
