layers;3;6;10;15;10;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
36399;424301;-3262099;-2801399
52801;362599;-3219299;-2803899
13801;263501;-3236601;-2959299
28300;320701;-3180201;-2831200
28300;341901;-3204999;-2834798
27700;223899;-3260899;-3009300
29799;242300;-3237799;-2965700
26401;267299;-3360200;-3066500
25700;243899;-3195301;-2925702
22501;437499;-3890700;-3430700
34801;299700;-3089100;-2754599
39699;329101;-3164799;-2795999
11700;346700;-3206099;-2847699
3100;338501;-3204799;-2863198
29200;347600;-3250000;-2873200
34502;341500;-3123101;-2747099
28899;244500;-3126999;-2853600
56900;333399;-3120001;-2729702
31700;292901;-3456901;-3132300
27899;254901;-3132999;-2850199

Mean
29505;312835;-3246144;-2903804
