layers;3;6;10;15;10;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
3370400;445000;1367800;5183200
73099;422601;1354899;1850599
43000;399699;1337800;1780499
57400;394100;1339000;1790500
42100;412200;1336800;1791100
42500;402399;1447501;1892400
75501;516600;1522300;2114401
114400;503900;1398599;2016899
85100;416700;1396200;1898000
46701;414200;1441000;1901901
47800;420900;1407500;1876200
44800;413300;1408299;1866399
42300;425300;1458900;1926500
100899;462800;1554601;2118300
61400;426601;1510500;1998501
44601;426400;1514200;1985201
51699;416600;1526601;1994900
43300;421099;1496701;1961100
42899;421701;1513000;1977600
42800;422900;1502400;1968100

Mean
223634;429250;1441730;2094615
