layers;3;6;10;15;10;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
35101;82499;4776699;4894299
29500;93800;4747800;4871100
34000;149899;4743800;4927699
15200;87099;4715001;4817300
17301;81399;4714699;4813399
16700;191100;4769700;4977500
17501;169599;4753200;4940300
16699;146000;4872601;5035300
16600;171401;4707200;4895201
20399;151801;5396800;5569000
16100;122700;4609400;4748200
14400;91100;4681699;4787199
32701;82999;4722900;4838600
40901;90199;4710899;4841999
14000;86200;4764699;4864899
12999;85300;4641501;4739800
14500;187800;4626100;4828400
27800;158801;4517200;4703801
13499;117800;4860301;4991600
14500;154800;4535899;4705199

Mean
21020;125114;4743404;4889539
