layers;9;15;20;17;10
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
3463102;320047099;-332119000;-8608799
116501;324214400;-327934700;-3603799
121900;322494199;-327657600;-5041501
111700;322558401;-325055400;-2385299
122400;321184000;-321124399;182001
40500;317882900;-326943201;-9019801
116400;319167100;-326138400;-6854900
127499;318571401;-326042900;-7344000
129300;318989500;-321275400;-2156600
119700;317602898;-322619999;-4897401
116301;318610299;-325169599;-6442999
135501;319925700;-326950499;-6889298
113900;330308900;-329200099;1222701
114200;318072900;-329193801;-11006701
108999;320826001;-331964400;-11029400
127102;316439600;-325645202;-9078500
116901;318726199;-327366200;-8523100
163000;316179901;-325894701;-9551800
117301;317258999;-325849199;-8472899
183400;316566799;-323446299;-6696100

Mean
288280;319781359;-326379549;-6309909
