layers;9;15;20;17;10
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
74099;1873125301;-657676300;1215523100
152900;1872239100;-655075801;1217316199
139100;1864928299;-653820599;1211246800
134000;1863030800;-653123000;1210041800
135101;1865349999;-657939899;1207545201
127300;1869435899;-644847599;1224715600
111400;1866430099;-652999899;1213541600
135500;1853101900;-654471700;1198765700
123899;1867925301;-654672200;1213377000
121901;1867518599;-652987700;1214652800
229199;1866439201;-655368000;1211300400
154200;1869129800;-653190899;1216093101
133499;1888954801;-657854801;1231233499
126800;1866077600;-647310001;1218894399
113701;1876565601;-651155000;1225524302
122900;1876818399;-655561399;1221379900
143600;1862096100;-653328301;1208911399
138200;1876337600;-649203800;1227272000
138701;1869935100;-655571700;1214502101
126599;1874975201;-650700900;1224400900

Mean
134129;1869520735;-653342974;1216311890
