layers;9;15;20;17;10
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
3502901;320979499;152410101;476892501
138601;324864600;152559800;477563001
145200;323095100;152288000;475528300
139599;323215501;152485600;475840700
144800;321795700;154053000;475993500
137600;318502800;152581499;471221899
139800;319889600;153656900;473686300
151300;319201500;152703600;472056400
151700;319645700;154070800;473868200
145000;318396899;154026201;472568100
139101;319243000;152427300;471809401
158001;320571900;151579000;472308901
137100;331043400;152897900;484078400
136900;318871800;151068299;470076999
135599;321544301;152206600;473886500
149401;317089300;151025899;468264600
140900;319358999;153012101;472512000
188399;316762601;152948400;469899400
141201;317847999;153062000;471051200
213400;317165199;154356301;471734900

Mean
316825;320454269;152770965;473542060
