layers;9;15;20;17;10
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
100000;1874342700;304572100;2179014800
178100;1873517400;303443799;2177139299
164000;1866088099;305728001;2171980100
158100;1864216000;305148900;2169523000
158401;1866597199;304037001;2170792601
152400;1870591799;307208801;2177953000
136900;1867756499;305493700;2173387099
160100;1854392300;303636100;2158188500
149400;1869175800;304866100;2174191300
146001;1868846800;308094100;2177086901
253500;1867642300;304972099;2172867899
178500;1870300600;304737400;2175216500
158800;1890260300;301725899;2192144999
150999;1867245501;306737400;2174133900
140201;1877850900;308647200;2186638301
147100;1878013699;302132001;2180292800
170500;1863418900;305678699;2169268099
164100;1877625900;304942700;2182732700
163101;1871115300;299541699;2170820100
151500;1876108700;307314600;2183574800

Mean
159085;1870755334;304932914;2175847334
