layers;9;15;20;17;10
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
39799;932400;484529101;485501300
22100;650200;480494500;481166800
23300;600901;479945600;480569801
27899;657100;477541000;478225999
22400;611700;475177399;475811499
97100;619900;479524700;480241700
23400;722500;479795300;480541200
23801;630099;478746500;479400400
22400;656200;475346200;476024800
25300;794001;476646200;477465501
22800;632701;477596899;478252400
22500;646200;478529499;479198199
23200;734500;482097999;482855699
22700;798900;480262100;481083700
26600;718300;484171000;484915900
22299;649700;476671101;477343100
23999;632800;480378301;481035100
25399;582700;478843101;479451200
23900;589000;478911199;479524099
30000;598400;477802600;478431000

Mean
28544;672910;479150514;479851969
