layers;8;10;15;17;13;9
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
3421200;79827500;-154002800;-70754100
82700;81611700;-149892400;-68198000
87000;82728800;-150155900;-67340100
85400;80917800;-152428300;-71425100
89400;82792800;-150823500;-67941300
75800;79775500;-151455300;-71604000
85900;81444500;-148906300;-67375900
40500;80953200;-152390700;-71397000
113200;80297600;-149208200;-68797400
77600;79073700;-153095000;-73943700
80500;80543800;-147648500;-67024200
112200;81959600;-153133000;-71061200
91800;80107000;-149348500;-69149700
100700;77832200;-149770800;-71837900
86200;80128300;-152450800;-72236300
90100;82985300;-152876400;-69801000
111300;80716700;-151821900;-70993900
94700;79186800;-151557100;-72275600
109400;81054100;-152053300;-70889800
68800;79929500;-151130500;-71132200

Mean
255220;80693320;-151207460;-70258920
