layers;8;10;15;17;13;9
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
82500;439804200;141491600;581378300
131400;451562600;140344800;592038800
149600;440455900;142071700;582677200
155400;446210100;141336200;587701700
139800;435958000;142584200;578682000
144700;445180900;142040600;587366200
170100;438746300;141626300;580542700
120200;433967800;142015300;576103300
136600;438452400;142086600;580675600
137000;440173500;143854200;584164700
152600;436416200;141313200;577882000
145100;440119800;141734800;581999700
154200;437589500;141159400;578903100
166900;440064300;141983900;582215100
128000;438160200;144311300;582599500
147000;439314000;141141600;580602600
177500;436995600;140359800;577532900
153300;439206300;141708500;581068100
262500;438707900;144081100;583051500
149300;438247000;141644100;580040400

Mean
150185;439766625;141944460;581861270
