layers;8;10;15;17;13;9
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
32000;300500;227469700;227802200
33000;408400;222373500;222814900
33500;385400;223079100;223498000
34100;427800;223216000;223677900
33600;409600;223369200;223812400
32700;383800;223586200;224002700
32600;358000;221503500;221894100
69200;383000;225435100;225887300
31900;424900;221675800;222132600
33800;379400;224554500;224967700
36300;373000;221468900;221878200
33400;372400;225981800;226387600
31700;391500;221903400;222326600
33900;372400;222303000;222709300
32300;384500;224431500;224848300
36500;376500;224624600;225037600
30500;378300;223515100;223923900
38400;409700;224032300;224480400
32800;399300;223593900;224026000
45900;394800;222331600;222772300

Mean
35905;385660;223522435;223944000
