layers;6;15;20;13;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
33200;10259000;-35486500;-25194300
67800;8228700;-32420300;-24123800
69500;8334900;-32116200;-23711800
45400;7925700;-35120000;-27148900
48900;8558200;-33446100;-24839000
30400;8909800;-32542000;-23601800
26900;8774200;-34382000;-25580900
44300;8301300;-32641200;-24295600
55900;8747800;-29993600;-21189900
91500;8525200;-34703300;-26086600
66300;8276200;-33954700;-25612200
73600;8858400;-33457900;-24525900
66300;8057800;-33815400;-25691300
60000;8080100;-32134800;-23994700
105400;8096800;-33999900;-25797700
36400;9378800;-32240700;-22825500
48700;8795900;-33613700;-24769100
41800;8079200;-32409300;-24288300
44500;8697700;-32316100;-23573900
-3100;8257300;-34035400;-25781200

Mean
52685;8557150;-33241455;-24631620
