layers;6;15;20;13;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
55400;205700;50813500;51074600
41000;272700;48209200;48522900
42200;251300;47258700;47552200
50100;359600;50395300;50805000
42500;265300;48801100;49108900
44400;260900;47741600;48046900
47700;280000;49662800;49990500
44800;269100;47866300;48180200
50300;252800;47165500;47468600
36500;229900;50098500;50364900
40100;222000;49462300;49724400
40600;269300;49017800;49327700
44500;243900;49739200;50027600
41800;236100;47741400;48019300
42800;282200;49436500;49761500
46600;283200;48119000;48448800
48700;267300;48894900;49210900
45200;251900;47390200;47687300
56800;267900;47408500;47733200
84600;245800;48789500;49119900

Mean
47330;260845;48700590;49008765
