layers;6;15;20;13;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
64700;222900;95039300;95326900
31900;311300;98054400;98397600
126400;318000;97640700;98085100
39700;395400;95052500;95487600
35100;345100;98455300;98835500
36000;344300;97860100;98240400
42200;269300;94600400;94911900
31900;291000;100361700;100684600
39400;285300;96981000;97305700
37600;288800;94989500;95315900
42900;292500;98871900;99207300
33700;298600;97959100;98291400
34100;278200;94903200;95215500
34900;341800;96754200;97130900
36400;357000;96729100;97122500
35500;321500;97320500;97677500
40900;321800;97241200;97603900
35700;383200;96211400;96630300
38400;378400;95496000;95912800
58900;281600;97055200;97395700

Mean
43815;316300;96878835;97238950
