layers;11;20;25;23;17;14
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
57000;7597500;8974207900;8981862400
58200;4835000;8552254100;8557147300
41100;4788600;8340858400;8345688100
49000;5452200;8259332800;8264834000
41500;4928300;8264563000;8269532800
39000;4729700;8452750900;8457519600
43400;7808900;8692525300;8700377600
49100;5367000;8651450200;8656866300
41000;4676200;8675156600;8679873800
40300;4954600;8701067600;8706062500
39100;4962600;8454289100;8459290800
40700;5098000;8815284800;8820423500
59100;5041600;8743640000;8748740700
42600;5706100;8593298400;8599047100
50100;5120600;8740583500;8745754200
49200;7138200;8748109400;8755296800
39800;4580200;8501228000;8505848000
39700;4637500;9212706000;9217383200
49100;6999200;8797665700;8804714000
46000;4807100;9013601300;9018454400

Mean
45750;5461455;8659228650;8664735855
