layers;7;15;20;13;8
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
145500;35101200;31681700;66928400
150600;35451000;32282400;67884000
162400;33975200;32610900;66748500
172400;35534600;33956200;69663200
155000;38021400;32888700;71065100
153300;35961200;33490100;69604600
167600;37237500;33427800;70832900
150800;35168400;32728200;68047400
119600;37360800;31274600;68755000
126300;33738300;31750200;65614800
112300;36555000;30789600;67456900
118800;38205200;31898900;70222900
104100;32771900;31978200;64854200
165000;33597900;31390900;65153800
146200;34796200;31523800;66466200
99900;37452500;31280300;68832700
104400;36593100;32265900;68963400
89500;35751900;31396500;67237900
139700;37564700;33362600;71067000
160800;35161500;34085200;69407500

Mean
137210;35799975;32303135;68240320
