layers;11;12;10;7;4
Layer;Data;Train;Runtime
163800;3919373400;3537297300;7456834500
238000;8325984300;4422037100;12748259400
407000;8310290200;4482227100;12792924300
247500;8346969400;4436841700;12784058600
236300;8271362200;4370667100;12642265600
229200;8037702700;4439811300;12477743200
274100;8271336700;4378443000;12650053800
238700;8004014100;4091501000;12095753800
163500;3964102200;2876437600;6840703300
379600;8096712200;4441901100;12538992900

Mean
257770;7354784740;4147716430;11502758940
