layers;11;12;10;7;4
Layer;Data;Train;Runtime
240300;12069933700;7481994800;19552168800
195700;12327745800;7444214800;19772156300
259700;11952769300;7561648600;19514677600
222500;12083718000;7491825500;19575766000
275900;7527660000;5320670100;12848606000
161000;8514659800;5046059700;13560880500
222300;8189788900;5099736100;13289747300
164100;8000355100;4914789600;12915308800
137500;8070456500;5002932400;13073526400
190700;8079912200;5023993900;13104096800

Mean
206970;9681699930;6038786550;15720693450
