layers;11;12;10;7;4
Layer;Data;Train;Runtime
83800;3672674300;2408273500;6081031600
156800;4241925000;4369679700;8611761500
335700;8108600300;4330257200;12439193200
240500;8220506800;4372517000;12593264300
251800;8239512300;4485736300;12725500400
235500;8067035400;3332293300;11399564200
185800;3678414400;2281537900;5960138100
184800;3673751600;2280426200;5954362600
168100;3693859600;2272958700;5966986400
182800;3719173100;2275983800;5995339700

Mean
202560;5531545280;3240966360;8772714200
