layers;6;7;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset
526200;32955300;-19110600;14370900
217700;17056200;-19943100;-2669200
167400;12434700;-355600;12246500
198600;15969400;-6583000;9585000
150700;15488300;584400;16223400
214700;7859500;-5468500;2605700
92100;5701900;-7038700;-1244700
101800;7518200;-8183600;-563600
56500;8578700;-8060200;575000
-15600;8846100;-8329400;501100
63600;8447200;-7949300;561500
30900;8647500;-8211100;467300
100500;9197100;-7892800;1404800
104100;10554800;-9211800;1447100
94100;10880700;-5983800;4991000
133100;10113200;-7961900;2284400
123400;9591100;-6745700;2968800
97500;9889800;-7795200;2192100
156400;9535200;-8712000;979600
71100;9818900;-7251000;2639000

Mean
134240;11454190;-8010145;3578285
