layers;6;10;15;10;7;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
201000;4920500;-24263200;-19141700
91600;4991500;-22923600;-17840500
-70900;4855700;-22957800;-18173000
35300;5329900;-27925500;-22560300
32100;5026100;-22816700;-17758500
40100;5037500;-23340600;-18263000
28100;4699300;-23493200;-18765800
20100;4650700;-23322100;-18651300
41200;4868400;-24091300;-19181700
41700;4966300;-22472800;-17464800
47100;4702500;-22015800;-17266200
39400;4501200;-22037000;-17496400
35200;4817100;-24557400;-19705100
7900;5004000;-22649800;-17637900
66200;8671600;-22758900;-14021100
18700;4445600;-22974900;-18510600
51600;4492000;-23825600;-19282000
41400;4636200;-22403100;-17725500
32800;5136300;-22967900;-17798800
102900;4833400;-22077000;-17140700

Mean
45175;5029290;-23293710;-18219245
