layers;6;7;5;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset
81200;23313100;2770800;26165100
107500;18418700;2755600;21281800
77500;7239300;2661900;9978700
56200;7290000;2647200;9993400
61500;7308400;2645400;10015300
54400;10019700;2886600;12960700
69100;7127700;2659100;9855900
55400;7000200;2644500;9700100
55000;7328600;2766800;10150400
57700;7598900;2733500;10390100
180200;7432500;2708300;10321000
133300;7329000;2632700;10095000
54400;7073200;2732400;9860000
74100;7646600;2783500;10504200
53200;7910200;2657100;10620500
68200;8010500;2858300;10937000
81500;8174700;2803300;11059500
54400;8692100;2800100;11546600
125200;11090700;4125400;15341300
71200;7318800;2753300;10143300

Mean
78560;9166145;2801290;12045995
