layers;6;10;15;10;7;3
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
65100;8282200;9929300;18276600
87800;7279200;9842000;17209000
67500;7726700;9840200;17634400
69000;7525800;10108500;17703300
76800;7225800;9935400;17238000
82100;7595400;10149600;17827100
81100;10347900;9922800;20351800
87300;6887300;9764200;16738800
86900;7121000;9956500;17164400
77000;7957000;10096700;18130700
64400;6924400;10023200;17012000
76900;7089800;10167400;17334100
93200;7223500;10226800;17543500
87800;7403400;10156300;17647500
78900;7440300;9691700;17210900
57100;7692300;9760000;17509400
69500;7571200;10036200;17676900
81700;7504800;10141300;17727800
70300;7997200;10349000;18416500
117600;8038200;10254700;18410500

Mean
78900;7641670;10017590;17738160
